date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:27:09	255/255	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Jun%202022%2012:35:46%20GMT	https://syal.cf/robots.txt		(from )
11:27:10	23409/23409	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202022%2012:35:46%20GMT	https://syal.cf/	C:/My%20Web%20Sites/persanal/syal.cf/index.html	(from )
11:27:11	26053/26053	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jun%202022%2012:35:46%20GMT	https://syal.cf/assets/aos/aos.css	C:/My%20Web%20Sites/persanal/syal.cf/assets/aos/aos.css	(from https://syal.cf/)
11:27:11	163879/163879	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jun%202022%2012:35:46%20GMT	https://syal.cf/assets/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/persanal/syal.cf/assets/bootstrap/css/bootstrap.min.css	(from https://syal.cf/)
11:27:11	56842/56842	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-de0a%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.11.2/css/all.min.css	C:/My%20Web%20Sites/persanal/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.11.2/css/all.min.css	(from https://syal.cf/)
11:27:12	7179/7179	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jun%202022%2012:35:46%20GMT	https://syal.cf/assets/css/variables.css	C:/My%20Web%20Sites/persanal/syal.cf/assets/css/variables.css	(from https://syal.cf/)
11:27:12	71089/71089	---M-Z	200	added ('OK')	text/css	etag:%225eb03d2a-115b1%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.3.0/animate.css	C:/My%20Web%20Sites/persanal/cdnjs.cloudflare.com/ajax/libs/animate.css/3.3.0/animate.css	(from https://syal.cf/)
11:27:13	15242/15242	---M-Z	200	added ('OK')	application/javascript	etag:%225eb04033-3b8a%22	https://cdnjs.cloudflare.com/ajax/libs/wow/1.1.2/wow.js	C:/My%20Web%20Sites/persanal/cdnjs.cloudflare.com/ajax/libs/wow/1.1.2/wow.js	(from https://syal.cf/)
11:27:13	63576/63576	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jun%202022%2012:35:46%20GMT	https://syal.cf/assets/css/style.css	C:/My%20Web%20Sites/persanal/syal.cf/assets/css/style.css	(from https://syal.cf/)
11:27:13	23409/23409	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202022%2012:35:46%20GMT	https://syal.cf/index.html	C:/My%20Web%20Sites/persanal/syal.cf/index-2.html	(from https://syal.cf/)
11:27:14	52431/52431	---M-Z	200	added ('OK')	image/png	date:Wed,%2029%20Jun%202022%2012:35:46%20GMT	https://syal.cf/images/img2.png	C:/My%20Web%20Sites/persanal/syal.cf/images/img2.png	(from https://syal.cf/)
11:27:14	9241/9241	---M-Z	200	added ('OK')	image/png	date:Wed,%2029%20Jun%202022%2012:35:46%20GMT	https://syal.cf/images/react.png	C:/My%20Web%20Sites/persanal/syal.cf/images/react.png	(from https://syal.cf/)
11:27:14	7838/7838	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Jun%202022%2012:35:46%20GMT	https://syal.cf/images/web2.png	C:/My%20Web%20Sites/persanal/syal.cf/images/web2.png	(from https://syal.cf/)
11:27:15	88145/88145	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2029%20Jun%202022%2012:35:46%20GMT	https://syal.cf/assets/js/jquery-3.4.1.min.js	C:/My%20Web%20Sites/persanal/syal.cf/assets/js/jquery-3.4.1.min.js	(from https://syal.cf/)
11:27:15	84245/84245	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.1.1/jquery.min.js	C:/My%20Web%20Sites/persanal/ajax.googleapis.com/ajax/libs/jquery/2.1.1/jquery.min.js	(from https://syal.cf/)
11:27:15	14690/14690	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2029%20Jun%202022%2012:35:46%20GMT	https://syal.cf/assets/aos/aos.js	C:/My%20Web%20Sites/persanal/syal.cf/assets/aos/aos.js	(from https://syal.cf/)
11:27:16	78135/78135	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2029%20Jun%202022%2012:35:46%20GMT	https://syal.cf/assets/bootstrap/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/persanal/syal.cf/assets/bootstrap/js/bootstrap.bundle.min.js	(from https://syal.cf/)
11:27:16	21869/21869	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2029%20Jun%202022%2012:35:46%20GMT	https://syal.cf/assets/waypoints/noframework.waypoints.js	C:/My%20Web%20Sites/persanal/syal.cf/assets/waypoints/noframework.waypoints.js	(from https://syal.cf/)
11:27:17	11748/11748	---M-Z	200	added ('OK')	application/javascript	etag:%225eb04010-2de4%22	https://cdnjs.cloudflare.com/ajax/libs/typed.js/2.0.11/typed.min.js	C:/My%20Web%20Sites/persanal/cdnjs.cloudflare.com/ajax/libs/typed.js/2.0.11/typed.min.js	(from https://syal.cf/)
11:27:17	2774/2774	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2029%20Jun%202022%2012:35:46%20GMT	https://syal.cf/assets/js/main.js	C:/My%20Web%20Sites/persanal/syal.cf/assets/js/main.js	(from https://syal.cf/)
11:27:18	23364/23364	---M-Z	200	added ('OK')	application/javascript	etag:W/%225b44-gBf4sYaQd9tyhXPxykaEoAr2lGI%22	https://cdn.jsdelivr.net/particles.js/2.0.0/particles.min.js	C:/My%20Web%20Sites/persanal/cdn.jsdelivr.net/particles.js/2.0.0/particles.min.js	(from https://syal.cf/)
11:27:18	80533/80533	---M-Z	200	added ('OK')	text/css	etag:W/%2213a95-GT7jENNppf/cnpgQOlL+nX8dUxI%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.8.3/font/bootstrap-icons.css	C:/My%20Web%20Sites/persanal/cdn.jsdelivr.net/npm/bootstrap-icons@1.8.3/font/bootstrap-icons.css	(from https://syal.cf/assets/css/style.css)
11:27:18	715/715	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Jun%202022%2012:35:46%20GMT	https://syal.cf/assets/img/hero-bg.jpg	C:/My%20Web%20Sites/persanal/syal.cf/assets/img/hero-bg.jpg	(from https://syal.cf/assets/css/style.css)
11:27:19	102380/102380	---M--	200	added ('OK')	font/woff2	etag:W/%2218fec-cpdRtpq9wNvdHfhH3KoE//US1Jo%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.8.3/font/fonts/bootstrap-icons.woff2?08efbba7c53d8c5413793eecb19b20bb	C:/My%20Web%20Sites/persanal/cdn.jsdelivr.net/npm/bootstrap-icons@1.8.3/font/fonts/bootstrap-iconse8a7.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.8.3/font/bootstrap-icons.css)
11:27:19	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.8.3/font/bootstrap-icons.css)
11:27:19	137216/137216	---M--	200	added ('OK')	font/woff	etag:W/%2221800-1YaJSaIbcCt4TNQ0N88A811RThI%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.8.3/font/fonts/bootstrap-icons.woff?08efbba7c53d8c5413793eecb19b20bb	C:/My%20Web%20Sites/persanal/cdn.jsdelivr.net/npm/bootstrap-icons@1.8.3/font/fonts/bootstrap-iconse8a7.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.8.3/font/bootstrap-icons.css)
